"","id","type","name","zone","coordinates","lon","lat","alt"
"219","1000249","tube","Walthamstow Central",3,"-.019918639025007567,51.582954705002570000,0",-0.0199186390250076,51.5829547050026,0
"220","1000250","tube","Wanstead",4,".028745919335254173,51.575521336921070000,0",0.0287459193352542,51.5755213369211,0
"221","1000251","tube","Wapping",2,"-.055846250896647850,51.504268283481814000,0",-0.0558462508966479,51.5042682834818,0
"222","1000252","tube","Warren Street",1,"-.138272313383213400,51.524511517547950000,0",-0.138272313383213,51.5245115175479,0
"223","1000253","tube","Warwick Avenue",2,"-.183678270688914820,51.523272522746110000,0",-0.183678270688915,51.5232725227461,0
"224","1000254","tube","Waterloo",1,"-.114069435807659030,51.503502207173680000,0",-0.114069435807659,51.5035022071737,0
"225","1000255","tube","Watford",6,"-.417280631945957540,51.657420971906490000,0",-0.417280631945958,51.6574209719065,0
"226","1000257","tube","Wembley Park",4,"-.279251008726512000,51.563260483955110000,0",-0.279251008726512,51.5632604839551,0
"227","1000258","tube","West Acton",3,"-.280993289991878060,51.517860586187880000,0",-0.280993289991878,51.5178605861879,0
"228","1000260","tube","West Brompton",2,"-.195540834373956750,51.487256950006746000,0",-0.195540834373957,51.4872569500067,0
"229","1000261","tube","West Finchley",4,"-.188468869728233300,51.609485709772600000,0",-0.188468869728233,51.6094857097726,0
"230","1000262","tube","West Ham",3,".005039507096672237,51.528181772941785000,0",0.00503950709667224,51.5281817729418,0
"231","1000263","tube","West Hampstead",2,"-.190749850256434300,51.546701979094905000,0",-0.190749850256434,51.5467019790949,0
"232","1000264","tube","West Harrow",5,"-.352920630985434100,51.579778193709345000,0",-0.352920630985434,51.5797781937093,0
"233","1000265","tube","West Kensington",2,"-.206477114705301220,51.490491685732100000,0",-0.206477114705301,51.4904916857321,0
"234","1000267","tube","West Ruislip",6,"-.437886436759924000,51.569528862920430000,0",-0.437886436759924,51.5695288629204,0
"235","1000259","tube","Westbourne Park",2,"-.200883771467904430,51.520920849526010000,0",-0.200883771467904,51.520920849526,0
"236","1000266","tube","Westminster",1,"-.124818265200698930,51.501084583446460000,0",-0.124818265200699,51.5010845834465,0
"237","1000269","tube","White City",2,"-.224254319227984920,51.511978113587034000,0",-0.224254319227985,51.511978113587,0
"238","1000268","tube","Whitechapel",2,"-.059984982962259466,51.519455246890790000,0",-0.0599849829622595,51.5194552468908,0
"239","1000270","tube","Willesden Green",2,"-.222410152080799300,51.549308888247985000,0",-0.222410152080799,51.549308888248,0
"240","1000273","tube","Wimbledon Park",3,"-.199595272173123170,51.434464186025440000,0",-0.199595272173123,51.4344641860254,0
"241","1000275","tube","Wood Green",3,"-.109626380548445640,51.597476031308410000,0",-0.109626380548446,51.5974760313084,0
"242","1000274","tube","Woodford",4,".034037144154079255,51.607033365181010000,0",0.0340371441540793,51.607033365181,0
"243","1000276","tube","Woodside Park",4,"-.185421027508838540,51.617811407382945000,0",-0.185421027508839,51.6178114073829,0
"244","1002003","dlr","All Saints",NA,"-.012751749577122285,51.511010078082435000,0",-0.0127517495771223,51.5110100780824,0
"245","1002011","dlr","Beckton",NA,".060942442359961540,51.515133282604730000,0",0.0609424423599615,51.5151332826047,0
"246","1002012","dlr","Beckton Park",NA,".054897746701542370,51.508943792676580000,0",0.0548977467015424,51.5089437926766,0
"247","1002018","dlr","Blackwall",NA,"-.007108496961494498,51.508216114618390000,0",-0.0071084969614945,51.5082161146184,0
"248","1002019","dlr","Bow Church",NA,"-.020691424393872180,51.527333106708156000,0",-0.0206914243938722,51.5273331067082,0
"249","1000032","tube","Bromley-By-Bow",NA,"-.011661937058285864,51.524769937557340000,0",-0.0116619370582859,51.5247699375573,0
"250","1002025","dlr","Crossharbour & London Arena",NA,"-.014614325661385941,51.495698374116300000,0",-0.0146143256613859,51.4956983741163,0
